Team,Record,ELO,Rank,ELO Delta
Cal State Northridge,8-20,1153.12,314,-4
North Florida,7-21,1152.88,315,NA
Florida A&M,8-22,1146.64,316,7
Louisiana,4-25,1146.28,317,NA
Long Beach State,4-25,1141.31,318,NA
Omaha,4-27,1136.83,319,1
Houston Christian,6-21,1132.88,320,2
Tennessee State,5-24,1131.14,321,3
North Carolina Central,7-20,1130.19,322,-8
Wagner,11-17,1129.56,323,-7
UMass-Lowell,5-21,1128.96,324,1
Hampton,7-21,1128.81,325,-6
Colgate,6-24,1128.4,326,-5
Texas A&M-Corpus Christi,5-23,1127.1,327,1
American,7-23,1126.99,328,1
Mississippi Valley State,8-23,1123.62,329,-3
Charleston Southern,7-22,1120.07,330,2
Southeastern Louisiana,4-24,1118.04,331,2
Chicago State,9-23,1115.28,332,-5
UMKC,4-23,1113.93,333,1
Saint Peter's,6-23,1108.9,334,1
UNCW,6-24,1108.81,335,5
Rider,7-22,1105.22,336,NA
North Dakota,4-24,1099.88,337,NA
Northeastern,7-22,1095.72,338,-7
Eastern Illinois,4-27,1095.69,339,-1
Milwaukee,6-24,1089.25,340,-1
Buffalo,3-27,1088.39,341,NA
Canisius,5-24,1087.73,342,NA
San Jose State,3-28,1083.86,343,2
Delaware State,4-23,1078.07,344,-1
Morgan State,4-25,1076.9,345,-1
Utah State,5-24,1067.55,346,1
Bethune-Cookman,5-25,1059.4,347,4
New Orleans,3-26,1059.06,348,NA
Texas Southern,6-21,1056.52,349,-3
Cal State Bakersfield,6-23,1056.18,350,-1
Portland State,5-25,1054.76,351,-1
Cal Poly,2-26,1043.15,352,NA
Seattle University,3-25,1039.49,353,NA
Bellarmine,1-30,999.63,354,NA
New Haven,5-22,993.8,355,NA
Niagara,1-28,993.28,356,NA
Western Carolina,0-26,989.97,357,NA
Saint Francis (PA),3-26,975.96,358,NA
South Carolina State,3-25,973.09,359,NA
Central Connecticut,2-27,971.29,360,NA
Valparaiso,0-32,961.27,361,NA
Presbyterian College,1-27,943.65,362,NA
Prairie View A&M,0-28,904.94,363,NA
